ref_name,chiro_rx_name,ab_name
Wang20h,IF4,IF4
Wang20l,MW05,MW05
Wang20l,MW07,MW07
Wang21c,1.6C7,1.6C7
Wang21c,28D9,28D9
Wec20,ADI-55688,ADI-55688
Wec20,ADI-55689,ADI-55689
Wec20,ADI-55690,ADI-55690
Wec20,ADI-55951,ADI-55951
Wec20,ADI-55993,ADI-55993
Wec20,ADI-56000,ADI-56000
Wec20,ADI-56010,ADI-56010
Wec20,ADI-56046,ADI-56046
Wu20,B38,B38
Wu20,H4,H4
Wu20b,n3088,n3088
Wu20b,n3130,n3130
Xiang20,nb20,nb20
Xiang20,nb21,nb21
Xiang20,nb89,nb89
Ying14,M336,M336
Zhang20f,FC01,FC01
Zhang20f,FC05,FC05
Zhang20f,FC05/FC08,FC05
Zhang20f,FC05/FC08,FC08
Zhang20f,FC06,FC06
Zhang20f,FC07,FC07
Zhang20f,FC08,FC08
Zhang20f,FC11,FC11
Zhang20f,FC118,FC118
Zhang20f,FC120,FC120
Zhang20f,FC122,FC122
Zhang20f,FC124,FC124
Zhang21,3C1,3C1
Zhang21,2H2,2H2
Zhang21,2G3,2G3
Zhang21,8D3,8D3
Zhang21,c3C1,c3C1
Zhang21,c2H2,c2H2
Zhang21,c3C1/c2H2,c3C1
Zhang21,c3C1/c2H2,c2H2
Zhou20b,EY6A,EY6A
Zhou21,XG014,XG014
Zhu07,m396,m396
Zhu07,S230.15,S230.15
Zost20b,COV2-2130,Cilgavimab
Zost20b,COV2-2196,Tixagevimab
Zost20b,COV2-2050,COV2-2050
Zost20b,COV2-2050-LALA-PG,COV2-2050-LALA-PG
Ku21,CoV-06,CoV-06
Ku21,CoV-14,CoV-14
Suryadevara21,COV2-2676,COV2-2676
Suryadevara21,COV2-2489,COV2-2489
Suryadevara21,COV2-2196,Tixagevimab
Li21,DH1043,DH1043
Li21,DH1125,DH1125
Li21,DH1042,DH1042
Li21,DH1179,DH1179
Li21,DH1184,DH1184
Li21,DH1041,DH1041
Li21,DH1186,DH1186
Li21,DH1044,DH1044
Li21,DH1213,DH1213
Li21,DH1126,DH1126
Li21,DH1161.1,DH1161.1
Li21,DH1173,DH1173
Li21,DH1143,DH1143
Li21,DH1154,DH1154
Li21,DH1047,DH1047
Li21,DH1151,DH1151
Li21,DH1197,DH1197
Li21,DH1160,DH1160
Li21,DH1140,DH1140
Li21,DH1210,DH1210
Li21,DH1150,DH1150
Li21,DH1045,DH1045
Li21,DH1046,DH1046
Li21,DH1180,DH1180
Li21,DH1155,DH1155
Li21,DH1193,DH1193
Li21,DH1111,DH1111
Li21,DH1060,DH1060
Li21,DH1161.2,DH1161.2
Li21,DH1073,DH1073
Li21,DH1130,DH1130
Li21,DH1082,DH1082
Li21,DH1072,DH1072
Li21,DH1196,DH1196
Li21,DH1214,DH1214
Li21,DH1049,DH1049
Li21,DH1050.1,DH1050.1
Li21,DH1051,DH1051
Li21,DH1167,DH1167
Li21,DH1190,DH1190
Li21,DH1050.2,DH1050.2
Li21,DH1138,DH1138
Li21,DH1048,DH1048
Li21,DH1205,DH1205
Wang19,M336,M336
Wang19b,M336-HR2P,M336-HR2P
Wang19b,M336-scFv,M336-scFv
Wang19b,M336-scFv-HR2P,M336-scFv-HR2P
Wrapp20,D12,D12
Wrapp20,VHH-12,VHH-12
Wrapp20,VHH-34,VHH-34
Wrapp20,VHH-40,VHH-40
Wrapp20,VHH-44,VHH-44
Wrapp20,VHH-55,VHH-55
Wrapp20,VHH-72,VHH-72
Ying14,M338,M338
Ejemel20,Mab-362-IgA,362-IgA
Ejemel20,Mab-362-IgA-dimeric,362-IgA-dimeric
Ejemel20,Mab-362-IgA-secretory,362-IgA-secretory
Ejemel20,Mab-362-IgG,362-IgG
He06,11E12,11E12
He06,12B11,12B11
He06,13B6,13B6
He06,17H9,17H9
He06,18D9,18D9
He06,19B2,19B2
He06,24F4,24F4
He06,26A4,26A4
He06,27C1,27C1
He06,28D6,28D6
He06,29G2,29G2
He06,30F9,30F9
He06,31H12,31H12
He06,33G4,33G4
He06,35B5,35B5
He06,38D4,38D4
He06,4D5,4D5
He06,9F7,9F7
Sui05,80R-IgG1,80R-IgG1
Wrapp20,VHH-72-Fc,VHH-72-Fc
Chen20e,311mab-31B5,311mab-31B5
Chen20e,311mab-32D4,311mab-32D4
Custodio20,Sb23,Sb23
Du20,BD-602,BD-602
Du20,BD-604,DXP-604
Du20,BD-606,BD-606
Du20,BD-612,BD-612
Du20,BD-617,BD-617
Du20,BD-629,BD-629
Du20,BD-632,BD-632
Hanke20,Ty1,Ty1
Hansen20,REGN10954,REGN10954
Hansen20,REGN10964,REGN10964
Hansen20,REGN10977,REGN10977
Hansen20,REGN10984,REGN10984
Hansen20,REGN10986,REGN10986
Hurlburt20,CV30-GermLine,CV30-GermLine
Li20d,MR17,MR17
Li20d,MR17-K99Y,MR17-K99Y
Li20d,MR3,MR3
Li20d,MR4,MR4
Li20d,SR4,SR4
Liu20e,MAb-2-36,2-36
Liu20e,MAb-4-18,4-18
Liu20e,MAb-4-20,4-20
Robbiani20,C002,C002
Robbiani20,C105,C105
Robbiani20,C119,C119
Rogers20,CC6.29,CC6.29
Rogers20,CC6.30,CC6.30
Schoof20,Nb11,Nb11
Schoof20,Nb11-trimeric,Nb11-trimeric
Seydoux20,CV1,CV1
Seydoux20,CV30,CV30
Wang20h,3F11,3F11
Wang20h,5A6-Fab,5A6-Fab
Wu20b,n3086,n3086
Wu20b,n3088/n3113,n3088
Wu20b,n3088/n3113,n3113
Wu20b,n3113,n3113
Wu20b,n3130/n3113,n3130
Wu20b,n3130/n3113,n3113
Veesler20,B6,B6
Zhang21,3A2,3A2
Huang21,3A3,3A3
Zhou21,XG005,XG005
Zhou21,XG016,XG016
Zhou21,XG038,XG038
Zhou21,XG027,XG027
Miao20,89C8,89C8
Liu20g,COVA1-16,COVA1-16
Lu21,Nb91-Nb3-hFc,Nb91-Nb3-hFc
Lu21,triNb91-hFc,triNb91-hFc
Lu21,monoNb91-hFc,monoNb91-hFc
Lu21,triNb3-hFc,triNb3-hFc
Lu21,monoNb3-hFc,monoNb3-hFc
Lu21,biNb91-hFc,biNb91-hFc
Lu21,biNb3-hFc,biNb3-hFc
Maisonnasse21,COVA1-18 IgG,COVA1-18 IgG
Maisonnasse21,COVA1-18 Fab,COVA1-18 Fab
Li21,DH1183,DH1183
Li21,DH1128,DH1128
Li21,DH1129,DH1129
Li21,DH1064,DH1064
Li21,DH1063,DH1063
Li21,DH1159.2,DH1159.2
Li21,DH1088,DH1088
Li21,DH1117,DH1117
Li21,DH1156,DH1156
Li21,DH1171,DH1171
Li21,DH1052,DH1052
